,1st Genre,Genre,MovieID,Name,Popularity,Rate,Year
0,Adventure,Adventure|Animation|Children|Comedy|Fantasy,1,Toy Story ,215,3.814,1995
1,Comedy,Comedy|Romance,3,Grumpier Old Men ,52,3.1731,1995
2,Action,Action|Crime|Thriller,6,Heat ,102,3.8725,1995
3,Mystery,Mystery|Thriller,47,Seven (a.k.a. Se7en) ,203,3.8571,1995
4,Crime,Crime|Mystery|Thriller,50,"Usual Suspects, The ",204,4.1029,1995
5,Action,Action|Comedy|Horror|Thriller,70,From Dusk Till Dawn ,55,3.4,1996
6,Adventure,Adventure|Comedy|Crime|Romance,101,Bottle Rocket ,23,3.6087,1996
7,Action,Action|Drama|War,110,Braveheart ,237,3.9198,1995
8,Action,Action|Drama|Romance|War,151,Rob Roy ,44,3.5,1995
9,Comedy,Comedy|War,157,Canadian Bacon ,11,2.8182,1995
10,Action,Action|Romance|Western,163,Desperado ,66,3.4697,1995
11,Comedy,Comedy,216,Billy Madison ,49,3.2245,1995
12,Comedy,Comedy,223,Clerks ,104,3.7308,1994
13,Adventure,Adventure|Comedy,231,Dumb & Dumber (Dumb and Dumber) ,133,2.9323,1994
14,Comedy,Comedy|Drama,235,Ed Wood ,70,3.5857,1994
15,Action,Action|Adventure|Sci-Fi,260,Star Wars: Episode IV - A New Hope ,251,4.1315,1977
16,Comedy,Comedy|Crime|Drama|Thriller,296,Pulp Fiction ,307,4.0977,1994
17,Action,Action|Adventure|Sci-Fi,316,Stargate ,140,3.2929,1994
18,Comedy,Comedy,333,Tommy Boy ,50,3.68,1995
19,Action,Action|Crime|Drama|Thriller,349,Clear and Present Danger ,110,3.5727,1994
20,Comedy,Comedy|Drama|Romance|War,356,Forrest Gump ,329,4.0578,1994
21,Adventure,Adventure|Children|Romance,362,"Jungle Book, The ",34,3.4118,1994
22,Action,Action|Comedy|Crime|Fantasy,367,"Mask, The ",157,3.0955,1994
23,Action,Action|Thriller,423,Blown Away ,10,2.8,1994
24,Comedy,Comedy,441,Dazed and Confused ,42,3.7619,1993
25,Thriller,Thriller,457,"Fugitive, The ",190,3.9105,1993
26,Action,Action|Adventure|Sci-Fi|Thriller,480,Jurassic Park ,238,3.6723,1993
27,Comedy,Comedy|Drama,500,Mrs. Doubtfire ,144,3.2708,1993
28,Drama,Drama|War,527,Schindler's List ,220,4.1,1993
