ID,Genre,MovieID,Name,Popularity,Rate,Year,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
20,Comedy|Drama|Romance|War,356,Forrest Gump ,329,4.0578,1994,Comedy,Drama,Romance,War,,,
232,Crime|Drama,318,"Shawshank Redemption, The ",317,4.3281,1994,Crime,Drama,,,,,
16,Comedy|Crime|Drama|Thriller,296,Pulp Fiction ,307,4.0977,1994,Comedy,Crime,Drama,Thriller,,,
34,Crime|Horror|Thriller,593,"Silence of the Lambs, The ",279,4.0538,1991,Crime,Horror,Thriller,,,,
166,Action|Sci-Fi|Thriller,2571,"Matrix, The ",278,4.0647,1999,Action,Sci-Fi,Thriller,,,,
15,Action|Adventure|Sci-Fi,260,Star Wars: Episode IV - A New Hope ,251,4.1315,1977,Action,Adventure,Sci-Fi,,,,
26,Action|Adventure|Sci-Fi|Thriller,480,Jurassic Park ,238,3.6723,1993,Action,Adventure,Sci-Fi,Thriller,,,
7,Action|Drama|War,110,Braveheart ,237,3.9198,1995,Action,Drama,War,,,,
478,Action|Sci-Fi,589,Terminator 2: Judgment Day ,224,3.8571,1991,Action,Sci-Fi,,,,,
28,Drama|War,527,Schindler's List ,220,4.1,1993,Drama,War,,,,,
192,Action|Crime|Drama|Thriller,2959,Fight Club ,218,4.1055,1999,Action,Crime,Drama,Thriller,,,
0,Adventure|Animation|Children|Comedy|Fantasy,1,Toy Story ,215,3.814,1995,Adventure,Animation,Children,Comedy,Fantasy,,
68,Action|Adventure|Sci-Fi,1196,Star Wars: Episode V - The Empire Strikes Back ,211,4.1043,1980,Action,Adventure,Sci-Fi,,,,
4,Crime|Mystery|Thriller,50,"Usual Suspects, The ",204,4.1029,1995,Crime,Mystery,Thriller,,,,
184,Drama|Romance,2858,American Beauty ,204,3.9314,1999,Drama,Romance,,,,,
3,Mystery|Thriller,47,Seven (a.k.a. Se7en) ,203,3.8571,1995,Mystery,Thriller,,,,,
42,Action|Adventure|Sci-Fi|Thriller,780,Independence Day (a.k.a. ID4) ,202,3.302,1996,Action,Adventure,Sci-Fi,Thriller,,,
463,Adventure|Drama|IMAX,150,Apollo 13 ,201,3.7711,1995,Adventure,Drama,IMAX,,,,
70,Action|Adventure,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) ,200,4.095,1981,Action,Adventure,,,,,
73,Action|Adventure|Sci-Fi,1210,Star Wars: Episode VI - Return of the Jedi ,196,4.0255,1983,Action,Adventure,Sci-Fi,,,,
1027,Crime|Drama,858,"Godfather, The ",192,4.1823,1972,Crime,Drama,,,,,
25,Thriller,457,"Fugitive, The ",190,3.9105,1993,Thriller,,,,,,
33,Action|Crime|Thriller,592,Batman ,189,3.3492,1989,Action,Crime,Thriller,,,,
