id,imdb,name,year,rate,runtime,certificate,boxoffice,opening_theaters,budget_US???$),ReleaseDate,genre,genre1,genre2,genre3,genre4,genre5,genre6,Column
1,tt0499549,Avatar (2009),2009,7.9,162,PG_13,761000000,"3,452",237000000,16-Dec-09,Action , Adventure , Fantasy , Sci-Fi,,,,
4,tt0468569,The Dark Knight (2008),2008,9,152,PG_13,533000000,"4,366",185000000,14-Jul-08,Action , Crime , Drama,,,,,
9,tt0383574,Pirates of the Caribbean: Dead Man's Chest (2006),2006,7.3,151,PG_13,423000000,"4,133",225000000,24-Jun-06,Action , Adventure , Fantasy,,,,,
10,tt0435761,Toy Story 3 (2010),2010,8.4,103,G,415000000,"4,028",200000000,17-Jun-10,Animation , Adventure , Comedy , Family , Fantasy,,,
14,tt1055369,Transformers: Revenge of the Fallen (2009),2009,6,150,PG_13,402000000,"4,234",200000000,22-Jun-09,Action , Adventure , Sci-Fi,,,,,
16,tt1201607,Harry Potter and the Deathly Hallows: Part 2 (2011),2011,8.1,130,PG_13,381000000,"4,375",125000000,11-Jul-11,Adventure , Fantasy , Mystery,,,,,
18,tt0121766,Star Wars: Episode III - Revenge of the Sith (2005),2005,7.7,140,PG_13,380000000,"3,661",113000000,19-May-05,Action , Adventure , Fantasy , Sci-Fi,,,,
22,tt1399103,Transformers: Dark of the Moon (2011),2011,6.3,154,PG_13,352000000,"4,011",195000000,28-Jun-11,Action , Adventure , Sci-Fi,,,,,
26,tt0413300,Spider-Man 3 (2007),2007,6.2,139,PG_13,337000000,"4,252",258000000,30-Apr-07,Action , Adventure,,,,,,
27,tt1014759,Alice in Wonderland (2010),2010,6.5,108,PG,334000000,"3,728",200000000,5-Mar-10,Adventure , Family , Fantasy,,,,,
29,tt0413267,Shrek the Third (2007),2007,6,93,PG,321000000,"4,122",160000000,6-May-07,Animation , Adventure , Comedy , Family , Fantasy,,,
30,tt0418279,Transformers (2007),2007,7.2,144,PG_13,319000000,"4,011",150000000,27-Jun-07,Action , Adventure , Sci-Fi,,,,,
31,tt0371746,Iron Man (2008),2008,7.9,126,PG_13,318000000,"4,105",140000000,30-Apr-08,Action , Adventure , Sci-Fi,,,,,
33,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull (2008),2008,6.2,122,PG_13,317000000,"4,260",185000000,22-May-08,Action , Adventure,,,,,,
